subject,task,agent1,agent2,choice,dp,devs,devratio
10,DO,D,O,D,7,0,0.00
10,DE,D,E,E,6,0,0.00
10,OD,O,D,O,8,0,0.00
10,OE,O,E,E,5,0,0.00
10,ED,E,D,D,7,0,0.00
10,EO,E,O,O,8,0,0.00
11,PD,D,,D,7,0,0.00
11,PO,O,,O,8,0,0.00
11,PE,E,,E,5,0,0.00
11,DO,D,O,O,8,0,0.00
11,DE,D,E,E,5,0,0.00
11,OD,O,D,O,8,0,0.00
11,OE,O,E,E,5,0,0.00
11,ED,E,D,D,7,0,0.00
11,EO,E,O,O,8,0,0.00
12,PD,D,,D,7,0,0.00
12,PO,O,,O,8,0,0.00
12,PE,E,,E,5,0,0.00
12,DO,D,O,D,7,0,0.00
12,DE,D,E,D,19,4,0.21
12,OD,O,D,D,7,0,0.00
12,OE,O,E,O,7,0,0.00
12,ED,E,D,E,5,0,0.00
12,EO,E,O,E,6,1,0.17
13,PD,D,,D,7,0,0.00
13,PO,O,,O,8,0,0.00
13,PE,E,,E,5,0,0.00
13,DO,D,O,O,8,0,0.00
13,DE,D,E,E,11,3,0.27
13,OD,O,D,D,7,0,0.00
13,OE,O,E,E,6,0,0.00
13,ED,E,D,D,8,1,0.13
13,EO,E,O,O,8,0,0.00
14,PD,D,,D,7,0,0.00
14,PO,O,,O,8,0,0.00
14,PE,E,,D,7,0,0.00
14,DO,D,O,O,8,0,0.00
14,DE,D,E,D,7,0,0.00
14,OD,O,D,D,7,0,0.00
14,OE,O,E,O,7,1,0.14
14,ED,E,D,D,7,0,0.00
14,EO,E,O,O,8,0,0.00
15,PD,D,,D,7,0,0.00
15,PO,O,,E,6,1,0.17
15,PE,E,,E,6,0,0.00
15,DO,D,O,N,6,1,0.17
15,DE,D,E,E,6,0,0.00
15,OD,O,D,D,7,0,0.00
15,OE,O,E,O,7,1,0.14
15,ED,E,D,E,6,0,0.00
15,EO,E,O,E,6,0,0.00
16,PD,D,,D,7,0,0.00
16,PO,O,,D,7,1,0.14
16,PE,E,,E,6,0,0.00
16,DO,D,O,N,8,1,0.13
16,DE,D,E,E,6,0,0.00
16,OD,O,D,D,7,1,0.14
16,OE,O,E,E,6,0,0.00
16,ED,E,D,D,7,0,0.00
16,EO,E,O,O,7,1,0.14
17,PD,D,,D,7,1,0.14
17,PO,O,,D,7,1,0.14
17,PE,E,,E,5,0,0.00
17,DO,D,O,D,7,1,0.14
17,DE,D,E,E,12,2,0.17
17,OD,O,D,O,8,1,0.13
17,OE,O,E,E,6,1,0.17
17,ED,E,D,D,7,1,0.14
17,EO,E,O,O,10,1,0.10
18,PD,D,,D,7,1,0.14
18,PO,O,,O,8,0,0.00
18,PE,E,,E,6,0,0.00
18,DO,D,O,O,8,0,0.00
18,DE,D,E,E,6,0,0.00
18,OD,O,D,D,7,1,0.14
18,OE,O,E,E,6,0,0.00
18,ED,E,D,E,6,0,0.00
18,EO,E,O,O,8,0,0.00
19,PD,D,,D,7,1,0.14
19,PO,O,,O,8,0,0.00
19,PE,E,,E,5,0,0.00
19,DO,D,O,D,7,1,0.14
19,DE,D,E,E,6,0,0.00
19,OD,O,D,D,7,1,0.14
19,OE,O,E,E,5,0,0.00
19,ED,E,D,E,6,0,0.00
19,EO,E,O,O,8,0,0.00
20,PD,D,,D,7,0,0.00
20,PO,O,,O,8,0,0.00
20,PE,E,,E,5,0,0.00
20,DO,D,O,O,8,0,0.00
20,DE,D,E,D,7,0,0.00
20,OD,O,D,O,8,0,0.00
20,OE,O,E,O,7,1,0.14
20,ED,E,D,E,5,0,0.00
20,EO,E,O,O,8,0,0.00
21,PD,D,,D,7,0,0.00
21,PO,O,,D,7,1,0.14
21,PE,E,,N,11,2,0.18
